"","Country","date","cumulative_number_of_deaths","cumulative_number_of_cases","Cumulative_number_of_tests","tests_cum_weekly"
"6127","South-East Asian Region (SEAR)",2023-02-19,612727,51517897,913952269,913952269
"6128","South-East Asian Region (SEAR)",2023-02-20,612727,51517897,913952269,913952269
"6129","South-East Asian Region (SEAR)",2023-02-21,612727,51517897,913952269,913952269
"6130","South-East Asian Region (SEAR)",2023-02-22,612727,51517897,913952269,913952269
"6131","South-East Asian Region (SEAR)",2023-02-23,612727,51517897,913952269,913952269
"6132","South-East Asian Region (SEAR)",2023-02-24,612727,51517897,913952269,913952269
"6133","South-East Asian Region (SEAR)",2023-02-25,612727,51517897,913952269,913952269
"6134","South-East Asian Region (SEAR)",2023-02-26,612727,51517897,913952269,913952269
"6135","South-East Asian Region (SEAR)",2023-02-27,612727,51517897,913952269,913952269
"6136","South-East Asian Region (SEAR)",2023-02-28,612727,51517897,913952269,913952269
"6137","South-East Asian Region (SEAR)",2023-03-01,612727,51517897,913952269,913952269
"6138","South-East Asian Region (SEAR)",2023-03-02,612727,51517897,913952269,913952269
"6139","South-East Asian Region (SEAR)",2023-03-03,612727,51517897,913952269,913952269
"6140","South-East Asian Region (SEAR)",2023-03-04,612727,51517897,913952269,913952269
"6141","South-East Asian Region (SEAR)",2023-03-05,612727,51517897,913952269,913952269
"6142","South-East Asian Region (SEAR)",2023-03-06,612727,51517897,913952269,913952269
"6143","South-East Asian Region (SEAR)",2023-03-07,612727,51517897,913952269,913952269
"6144","South-East Asian Region (SEAR)",2023-03-08,612727,51517897,913952269,913952269
"6145","South-East Asian Region (SEAR)",2023-03-09,612727,51517897,913952269,913952269
"6146","South-East Asian Region (SEAR)",2023-03-10,612727,51517897,913952269,913952269
"6147","South-East Asian Region (SEAR)",2023-03-11,612727,51517897,913952269,913952269
"6148","South-East Asian Region (SEAR)",2023-03-12,612727,51517897,913952269,913952269
"6149","South-East Asian Region (SEAR)",2023-03-13,612727,51517897,913952269,913952269
"6150","South-East Asian Region (SEAR)",2023-03-14,612727,51517897,913952269,913952269
"6151","South-East Asian Region (SEAR)",2023-03-15,612727,51517897,913952269,913952269
"6152","South-East Asian Region (SEAR)",2023-03-16,612727,51517897,913952269,913952269
"6153","South-East Asian Region (SEAR)",2023-03-17,612727,51517897,913952269,913952269
"6154","South-East Asian Region (SEAR)",2023-03-18,612727,51517897,913952269,913952269
"6155","South-East Asian Region (SEAR)",2023-03-19,612727,51517897,913952269,913952269
"6156","South-East Asian Region (SEAR)",2023-03-20,612727,51517897,913952269,913952269
"6157","South-East Asian Region (SEAR)",2023-03-21,612727,51517897,913952269,913952269
"6158","South-East Asian Region (SEAR)",2023-03-22,612727,51517897,913952269,913952269
"6159","South-East Asian Region (SEAR)",2023-03-23,612727,51517897,913952269,913952269
"6160","South-East Asian Region (SEAR)",2023-03-24,612727,51517897,913952269,913952269
"6161","South-East Asian Region (SEAR)",2023-03-25,612727,51517897,913952269,913952269
"6162","South-East Asian Region (SEAR)",2023-03-26,612727,51517897,913952269,913952269
"6163","South-East Asian Region (SEAR)",2023-03-27,612727,51517897,913952269,913952269
"6164","South-East Asian Region (SEAR)",2023-03-28,612727,51517897,913952269,913952269
"6165","South-East Asian Region (SEAR)",2023-03-29,612727,51517897,913952269,913952269
"6166","South-East Asian Region (SEAR)",2023-03-30,612727,51517897,913952269,913952269
"6167","South-East Asian Region (SEAR)",2023-03-31,612727,51517897,913952269,913952269
"6168","South-East Asian Region (SEAR)",2023-04-01,612727,51517897,913952269,913952269
"6169","South-East Asian Region (SEAR)",2023-04-02,612727,51517897,913952269,913952269
"6170","South-East Asian Region (SEAR)",2023-04-03,612727,51517897,913952269,913952269
"6171","South-East Asian Region (SEAR)",2023-04-04,612727,51517897,913952269,913952269
"6172","South-East Asian Region (SEAR)",2023-04-05,612727,51517897,913952269,913952269
"6173","South-East Asian Region (SEAR)",2023-04-06,612727,51517897,913952269,913952269
"6174","South-East Asian Region (SEAR)",2023-04-07,612727,51517897,913952269,913952269
"6175","South-East Asian Region (SEAR)",2023-04-08,612727,51517897,913952269,913952269
"6176","South-East Asian Region (SEAR)",2023-04-09,612727,51517897,913952269,913952269
"6177","South-East Asian Region (SEAR)",2023-04-10,612727,51517897,913952269,913952269
"6178","South-East Asian Region (SEAR)",2023-04-11,612727,51517897,913952269,913952269
"6179","South-East Asian Region (SEAR)",2023-04-12,612727,51517897,913952269,913952269
"6180","South-East Asian Region (SEAR)",2023-04-13,612727,51517897,913952269,913952269
"6181","South-East Asian Region (SEAR)",2023-04-14,612727,51517897,913952269,913952269
"6182","South-East Asian Region (SEAR)",2023-04-15,612727,51517897,913952269,913952269
"6183","South-East Asian Region (SEAR)",2023-04-16,612727,51517897,913952269,913952269
"6184","South-East Asian Region (SEAR)",2023-04-17,612727,51517897,913952269,913952269
"6185","South-East Asian Region (SEAR)",2023-04-18,612727,51517897,913952269,913952269
"6186","South-East Asian Region (SEAR)",2023-04-19,612727,51517897,913952269,913952269
"6187","South-East Asian Region (SEAR)",2023-04-20,612727,51517897,913952269,913952269
"6188","South-East Asian Region (SEAR)",2023-04-21,612727,51517897,913952269,913952269
"6189","South-East Asian Region (SEAR)",2023-04-22,612727,51517897,913952269,913952269
"6190","South-East Asian Region (SEAR)",2023-04-23,612727,51517897,913952269,913952269
"6191","South-East Asian Region (SEAR)",2023-04-24,612727,51517897,913952269,913952269
"6192","South-East Asian Region (SEAR)",2023-04-25,612727,51517897,913952269,913952269
"6193","South-East Asian Region (SEAR)",2023-04-26,612727,51517897,913952269,913952269
"6194","South-East Asian Region (SEAR)",2023-04-27,612727,51517897,913952269,913952269
"6195","South-East Asian Region (SEAR)",2023-04-28,612727,51517897,913952269,913952269
"6196","South-East Asian Region (SEAR)",2023-04-29,612727,51517897,913952269,913952269
"6197","South-East Asian Region (SEAR)",2023-04-30,612727,51517897,913952269,913952269
"6198","South-East Asian Region (SEAR)",2023-05-01,612727,51517897,913952269,913952269
"6199","South-East Asian Region (SEAR)",2023-05-02,612727,51517897,913952269,913952269
"6200","South-East Asian Region (SEAR)",2023-05-03,612727,51517897,913952269,913952269
"6201","South-East Asian Region (SEAR)",2023-05-04,612727,51517897,913952269,913952269
"6202","South-East Asian Region (SEAR)",2023-05-05,612727,51517897,913952269,913952269
"6203","South-East Asian Region (SEAR)",2023-05-06,612727,51517897,913952269,913952269
"6204","South-East Asian Region (SEAR)",2023-05-07,612727,51517897,913952269,913952269
"6205","South-East Asian Region (SEAR)",2023-05-08,612727,51517897,913952269,913952269
"6206","South-East Asian Region (SEAR)",2023-05-09,612727,51517897,913952269,913952269
"6207","South-East Asian Region (SEAR)",2023-05-10,612727,51517897,913952269,913952269
"6208","South-East Asian Region (SEAR)",2023-05-11,612727,51517897,913952269,913952269
"6209","South-East Asian Region (SEAR)",2023-05-12,612727,51517897,913952269,913952269
"6210","South-East Asian Region (SEAR)",2023-05-13,612727,51517897,913952269,913952269
"6211","South-East Asian Region (SEAR)",2023-05-14,612727,51517897,913952269,913952269
"6212","South-East Asian Region (SEAR)",2023-05-15,612727,51517897,913952269,913952269
"6213","South-East Asian Region (SEAR)",2023-05-16,612727,51517897,913952269,913952269
"6214","South-East Asian Region (SEAR)",2023-05-17,612727,51517897,913952269,913952269
"6215","South-East Asian Region (SEAR)",2023-05-18,612727,51517897,913952269,913952269
"6216","South-East Asian Region (SEAR)",2023-05-19,612727,51517897,913952269,913952269
"6217","South-East Asian Region (SEAR)",2023-05-20,612727,51517897,913952269,913952269
"6218","South-East Asian Region (SEAR)",2023-05-21,612727,51517897,913952269,913952269
"6219","South-East Asian Region (SEAR)",2023-05-22,612727,51517897,913952269,913952269
"6220","South-East Asian Region (SEAR)",2023-05-23,612727,51517897,913952269,913952269
"6221","South-East Asian Region (SEAR)",2023-05-24,612727,51517897,913952269,913952269
"6222","South-East Asian Region (SEAR)",2023-05-25,612727,51517897,913952269,913952269
"6223","South-East Asian Region (SEAR)",2023-05-26,612727,51517897,913952269,913952269
"6224","South-East Asian Region (SEAR)",2023-05-27,612727,51517897,913952269,913952269
"6225","South-East Asian Region (SEAR)",2023-05-28,612727,51517897,913952269,913952269
"6226","South-East Asian Region (SEAR)",2023-05-29,612727,51517897,913952269,913952269
"6227","South-East Asian Region (SEAR)",2023-05-30,612727,51517897,913952269,913952269
"6228","South-East Asian Region (SEAR)",2023-05-31,612727,51517897,913952269,913952269
"6229","South-East Asian Region (SEAR)",2023-06-01,612727,51517897,913952269,913952269
"6230","South-East Asian Region (SEAR)",2023-06-02,612727,51517897,913952269,913952269
"6231","South-East Asian Region (SEAR)",2023-06-03,612727,51517897,913952269,913952269
"6232","South-East Asian Region (SEAR)",2023-06-04,612727,51517897,913952269,913952269
"6233","South-East Asian Region (SEAR)",2023-06-05,612727,51517897,913952269,913952269
"6234","South-East Asian Region (SEAR)",2023-06-06,612727,51517897,913952269,913952269
"6235","South-East Asian Region (SEAR)",2023-06-07,612727,51517897,913952269,913952269
"6236","South-East Asian Region (SEAR)",2023-06-08,612727,51517897,913952269,913952269
"6237","South-East Asian Region (SEAR)",2023-06-09,612727,51517897,913952269,913952269
"6238","South-East Asian Region (SEAR)",2023-06-10,612727,51517897,913952269,913952269
"6239","South-East Asian Region (SEAR)",2023-06-11,612727,51517897,913952269,913952269
"6240","South-East Asian Region (SEAR)",2023-06-12,612727,51517897,913952269,913952269
"6241","South-East Asian Region (SEAR)",2023-06-13,612727,51517897,913952269,913952269
"6242","South-East Asian Region (SEAR)",2023-06-14,612727,51517897,913952269,913952269
"6243","South-East Asian Region (SEAR)",2023-06-15,612727,51517897,913952269,913952269
"6244","South-East Asian Region (SEAR)",2023-06-16,612727,51517897,913952269,913952269
"6245","South-East Asian Region (SEAR)",2023-06-17,612727,51517897,913952269,913952269
"6246","South-East Asian Region (SEAR)",2023-06-18,612727,51517897,913952269,913952269
"6247","South-East Asian Region (SEAR)",2023-06-19,612727,51517897,913952269,913952269
"6248","South-East Asian Region (SEAR)",2023-06-20,612727,51517897,913952269,913952269
"6249","South-East Asian Region (SEAR)",2023-06-21,612727,51517897,913952269,913952269
"6250","South-East Asian Region (SEAR)",2023-06-22,612727,51517897,913952269,913952269
"6251","South-East Asian Region (SEAR)",2023-06-23,612727,51517897,913952269,913952269
"6252","South-East Asian Region (SEAR)",2023-06-24,612727,51517897,913952269,913952269
"6253","South-East Asian Region (SEAR)",2023-06-25,612727,51517897,913952269,913952269
"6254","South-East Asian Region (SEAR)",2023-06-26,612727,51517897,913952269,913952269
"6255","South-East Asian Region (SEAR)",2023-06-27,612727,51517897,913952269,913952269
"6256","South-East Asian Region (SEAR)",2023-06-28,612727,51517897,913952269,913952269
"6257","South-East Asian Region (SEAR)",2023-06-29,612727,51517897,913952269,913952269
"6258","South-East Asian Region (SEAR)",2023-06-30,612727,51517897,913952269,913952269
"6259","South-East Asian Region (SEAR)",2023-07-01,612727,51517897,913952269,913952269
"6260","South-East Asian Region (SEAR)",2023-07-02,612727,51517897,913952269,913952269
"6261","South-East Asian Region (SEAR)",2023-07-03,612727,51517897,913952269,913952269
"6262","South-East Asian Region (SEAR)",2023-07-04,612727,51517897,913952269,913952269
"6263","South-East Asian Region (SEAR)",2023-07-05,612727,51517897,913952269,913952269
"6264","South-East Asian Region (SEAR)",2023-07-06,612727,51517897,913952269,913952269
"6265","South-East Asian Region (SEAR)",2023-07-07,612727,51517897,913952269,913952269
"6266","South-East Asian Region (SEAR)",2023-07-08,612727,51517897,913952269,913952269
"6267","South-East Asian Region (SEAR)",2023-07-09,612727,51517897,913952269,913952269
"6268","South-East Asian Region (SEAR)",2023-07-10,612727,51517897,913952269,913952269
"6269","South-East Asian Region (SEAR)",2023-07-11,612727,51517897,913952269,913952269
"6270","South-East Asian Region (SEAR)",2023-07-12,612727,51517897,913952269,913952269
"6271","South-East Asian Region (SEAR)",2023-07-13,612727,51517897,913952269,913952269
"6272","South-East Asian Region (SEAR)",2023-07-14,612727,51517897,913952269,913952269
"6273","South-East Asian Region (SEAR)",2023-07-15,612727,51517897,913952269,913952269
"6274","South-East Asian Region (SEAR)",2023-07-16,612727,51517897,913952269,913952269
"6275","South-East Asian Region (SEAR)",2023-07-17,612727,51517897,913952269,913952269
"6276","South-East Asian Region (SEAR)",2023-07-18,612727,51517897,913952269,913952269
"6277","South-East Asian Region (SEAR)",2023-07-19,612727,51517897,913952269,913952269
"6278","South-East Asian Region (SEAR)",2023-07-20,612727,51517897,913952269,913952269
"6279","South-East Asian Region (SEAR)",2023-07-21,612727,51517897,913952269,913952269
"6280","South-East Asian Region (SEAR)",2023-07-22,612727,51517897,913952269,913952269
"6281","South-East Asian Region (SEAR)",2023-07-23,612727,51517897,913952269,913952269
"6282","South-East Asian Region (SEAR)",2023-07-24,612727,51517897,913952269,913952269
"6283","South-East Asian Region (SEAR)",2023-07-25,612727,51517897,913952269,913952269
"6284","South-East Asian Region (SEAR)",2023-07-26,612727,51517897,913952269,913952269
"6285","South-East Asian Region (SEAR)",2023-07-27,612727,51517897,913952269,913952269
"6286","South-East Asian Region (SEAR)",2023-07-28,612727,51517897,913952269,913952269
"6287","South-East Asian Region (SEAR)",2023-07-29,612727,51517897,913952269,913952269
"6288","South-East Asian Region (SEAR)",2023-07-30,612727,51517897,913952269,913952269
"6289","South-East Asian Region (SEAR)",2023-07-31,612727,51517897,913952269,913952269
"6290","South-East Asian Region (SEAR)",2023-08-01,612727,51517897,913952269,913952269
"6291","South-East Asian Region (SEAR)",2023-08-02,612727,51517897,913952269,913952269
"6292","South-East Asian Region (SEAR)",2023-08-03,612727,51517897,913952269,913952269
"6293","South-East Asian Region (SEAR)",2023-08-04,612727,51517897,913952269,913952269
"6294","South-East Asian Region (SEAR)",2023-08-05,612727,51517897,913952269,913952269
"6295","South-East Asian Region (SEAR)",2023-08-06,612727,51517897,913952269,913952269
"6296","South-East Asian Region (SEAR)",2023-08-07,612727,51517897,913952269,913952269
"6297","South-East Asian Region (SEAR)",2023-08-08,612727,51517897,913952269,913952269
"6298","South-East Asian Region (SEAR)",2023-08-09,612727,51517897,913952269,913952269
"6299","South-East Asian Region (SEAR)",2023-08-10,612727,51517897,913952269,913952269
"6300","South-East Asian Region (SEAR)",2023-08-11,612727,51517897,913952269,913952269
"6301","South-East Asian Region (SEAR)",2023-08-12,612727,51517897,913952269,913952269
"6302","South-East Asian Region (SEAR)",2023-08-13,612727,51517897,913952269,913952269
"6303","South-East Asian Region (SEAR)",2023-08-14,612727,51517897,913952269,913952269
"6304","South-East Asian Region (SEAR)",2023-08-15,612727,51517897,913952269,913952269
"6305","South-East Asian Region (SEAR)",2023-08-16,612727,51517897,913952269,913952269
"6306","South-East Asian Region (SEAR)",2023-08-17,612727,51517897,913952269,913952269
"6307","South-East Asian Region (SEAR)",2023-08-18,612727,51517897,913952269,913952269
"6308","South-East Asian Region (SEAR)",2023-08-19,612727,51517897,913952269,913952269
"6309","South-East Asian Region (SEAR)",2023-08-20,612727,51517897,913952269,913952269
"6310","South-East Asian Region (SEAR)",2023-08-21,612727,51517897,913952269,913952269
"6311","South-East Asian Region (SEAR)",2023-08-22,612727,51517897,913952269,913952269
"6312","South-East Asian Region (SEAR)",2023-08-23,612727,51517897,913952269,913952269
"6313","South-East Asian Region (SEAR)",2023-08-24,612727,51517897,913952269,913952269
"6314","South-East Asian Region (SEAR)",2023-08-25,612727,51517897,913952269,913952269
"6315","South-East Asian Region (SEAR)",2023-08-26,612727,51517897,913952269,913952269
"6316","South-East Asian Region (SEAR)",2023-08-27,612727,51517897,913952269,913952269
"6317","South-East Asian Region (SEAR)",2023-08-28,612727,51517897,913952269,913952269
"6318","South-East Asian Region (SEAR)",2023-08-29,612727,51517897,913952269,913952269
"6319","South-East Asian Region (SEAR)",2023-08-30,612727,51517897,913952269,913952269
"6320","South-East Asian Region (SEAR)",2023-08-31,612727,51517897,913952269,913952269
"6321","South-East Asian Region (SEAR)",2023-09-01,612727,51517897,913952269,913952269
"6322","South-East Asian Region (SEAR)",2023-09-02,612727,51517897,913952269,913952269
"6323","South-East Asian Region (SEAR)",2023-09-03,612727,51517897,913952269,913952269
"6324","South-East Asian Region (SEAR)",2023-09-04,612727,51517897,913952269,913952269
"6325","South-East Asian Region (SEAR)",2023-09-05,612727,51517897,913952269,913952269
"6326","South-East Asian Region (SEAR)",2023-09-06,612727,51517897,913952269,913952269
"6327","South-East Asian Region (SEAR)",2023-09-07,612727,51517897,913952269,913952269
"6328","South-East Asian Region (SEAR)",2023-09-08,612727,51517897,913952269,913952269
"6329","South-East Asian Region (SEAR)",2023-09-09,612727,51517897,913952269,913952269
"6330","South-East Asian Region (SEAR)",2023-09-10,612727,51517897,913952269,913952269
"6331","South-East Asian Region (SEAR)",2023-09-11,612727,51517897,913952269,913952269
"6332","South-East Asian Region (SEAR)",2023-09-12,612727,51517897,913952269,913952269
"6333","South-East Asian Region (SEAR)",2023-09-13,612727,51517897,913952269,913952269
"6334","South-East Asian Region (SEAR)",2023-09-14,612727,51517897,913952269,913952269
"6335","South-East Asian Region (SEAR)",2023-09-15,612727,51517897,913952269,913952269
"6336","South-East Asian Region (SEAR)",2023-09-16,612727,51517897,913952269,913952269
"6337","South-East Asian Region (SEAR)",2023-09-17,612727,51517897,913952269,913952269
"6338","South-East Asian Region (SEAR)",2023-09-18,612727,51517897,913952269,913952269
"6339","South-East Asian Region (SEAR)",2023-09-19,612727,51517897,913952269,913952269
"6340","South-East Asian Region (SEAR)",2023-09-20,612727,51517897,913952269,913952269
"6341","South-East Asian Region (SEAR)",2023-09-21,612727,51517897,913952269,913952269
"6342","South-East Asian Region (SEAR)",2023-09-22,612727,51517897,913952269,913952269
"6343","South-East Asian Region (SEAR)",2023-09-23,612727,51517897,913952269,913952269
"6344","South-East Asian Region (SEAR)",2023-09-24,612727,51517897,913952269,913952269
"6345","South-East Asian Region (SEAR)",2023-09-25,612727,51517897,913952269,913952269
"6346","South-East Asian Region (SEAR)",2023-09-26,612727,51517897,913952269,913952269
"6347","South-East Asian Region (SEAR)",2023-09-27,612727,51517897,913952269,913952269
"6348","South-East Asian Region (SEAR)",2023-09-28,612727,51517897,913952269,913952269
"6349","South-East Asian Region (SEAR)",2023-09-29,612727,51517897,913952269,913952269
"6350","South-East Asian Region (SEAR)",2023-09-30,612727,51517897,913952269,913952269
"6351","South-East Asian Region (SEAR)",2023-10-01,612727,51517897,913952269,913952269
"6352","South-East Asian Region (SEAR)",2023-10-02,612727,51517897,913952269,913952269
"6353","South-East Asian Region (SEAR)",2023-10-03,612727,51517897,913952269,913952269
"6354","South-East Asian Region (SEAR)",2023-10-04,612727,51517897,913952269,913952269
"6355","South-East Asian Region (SEAR)",2023-10-05,612727,51517897,913952269,913952269
"6356","South-East Asian Region (SEAR)",2023-10-06,612727,51517897,913952269,913952269
"6357","South-East Asian Region (SEAR)",2023-10-07,612727,51517897,913952269,913952269
"6358","South-East Asian Region (SEAR)",2023-10-08,612727,51517897,913952269,913952269
"6359","South-East Asian Region (SEAR)",2023-10-09,612727,51517897,913952269,913952269
"6360","South-East Asian Region (SEAR)",2023-10-10,612727,51517897,913952269,913952269
"6361","South-East Asian Region (SEAR)",2023-10-11,612727,51517897,913952269,913952269
"6362","South-East Asian Region (SEAR)",2023-10-12,612727,51517897,913952269,913952269
"6363","South-East Asian Region (SEAR)",2023-10-13,612727,51517897,913952269,913952269
"6364","South-East Asian Region (SEAR)",2023-10-14,612727,51517897,913952269,913952269
"6365","South-East Asian Region (SEAR)",2023-10-15,612727,51517897,913952269,913952269
"6366","South-East Asian Region (SEAR)",2023-10-16,612727,51517897,913952269,913952269
"6367","South-East Asian Region (SEAR)",2023-10-17,612727,51517897,913952269,913952269
"6368","South-East Asian Region (SEAR)",2023-10-18,612727,51517897,913952269,913952269
"6369","South-East Asian Region (SEAR)",2023-10-19,612727,51517897,913952269,913952269
"6370","South-East Asian Region (SEAR)",2023-10-20,612727,51517897,913952269,913952269
"6371","South-East Asian Region (SEAR)",2023-10-21,612727,51517897,913952269,913952269
"6372","South-East Asian Region (SEAR)",2023-10-22,612727,51517897,913952269,913952269
"6373","South-East Asian Region (SEAR)",2023-10-23,612727,51517897,913952269,913952269
"6374","South-East Asian Region (SEAR)",2023-10-24,612727,51517897,913952269,913952269
"6375","South-East Asian Region (SEAR)",2023-10-25,612727,51517897,913952269,913952269
"6376","South-East Asian Region (SEAR)",2023-10-26,612727,51517897,913952269,913952269
"6377","South-East Asian Region (SEAR)",2023-10-27,612727,51517897,913952269,913952269
"6378","South-East Asian Region (SEAR)",2023-10-28,612727,51517897,913952269,913952269
"6379","South-East Asian Region (SEAR)",2023-10-29,612727,51517897,913952269,913952269
"6380","South-East Asian Region (SEAR)",2023-10-30,612727,51517897,913952269,913952269
"6381","South-East Asian Region (SEAR)",2023-10-31,612727,51517897,913952269,913952269
"6382","South-East Asian Region (SEAR)",2023-11-01,612727,51517897,913952269,913952269
"6383","South-East Asian Region (SEAR)",2023-11-02,612727,51517897,913952269,913952269
"6384","South-East Asian Region (SEAR)",2023-11-03,612727,51517897,913952269,913952269
"6385","South-East Asian Region (SEAR)",2023-11-04,612727,51517897,913952269,913952269
"6386","South-East Asian Region (SEAR)",2023-11-05,612727,51517897,913952269,913952269
"6387","South-East Asian Region (SEAR)",2023-11-06,612727,51517897,913952269,913952269
"6388","South-East Asian Region (SEAR)",2023-11-07,612727,51517897,913952269,913952269
"6389","South-East Asian Region (SEAR)",2023-11-08,612727,51517897,913952269,913952269
"6390","South-East Asian Region (SEAR)",2023-11-09,612727,51517897,913952269,913952269
"6391","South-East Asian Region (SEAR)",2023-11-10,612727,51517897,913952269,913952269
"6392","South-East Asian Region (SEAR)",2023-11-11,612727,51517897,913952269,913952269
"6393","South-East Asian Region (SEAR)",2023-11-12,612727,51517897,913952269,913952269
"6394","South-East Asian Region (SEAR)",2023-11-13,612727,51517897,913952269,913952269
"6395","South-East Asian Region (SEAR)",2023-11-14,612727,51517897,913952269,913952269
"6396","South-East Asian Region (SEAR)",2023-11-15,612727,51517897,913952269,913952269
"6397","South-East Asian Region (SEAR)",2023-11-16,612727,51517897,913952269,913952269
"6398","South-East Asian Region (SEAR)",2023-11-17,612727,51517897,913952269,913952269
"6399","South-East Asian Region (SEAR)",2023-11-18,612727,51517897,913952269,913952269
"6400","South-East Asian Region (SEAR)",2023-11-19,612727,51517897,913952269,913952269
"6401","South-East Asian Region (SEAR)",2023-11-20,612727,51517897,913952269,913952269
"6402","South-East Asian Region (SEAR)",2023-11-21,612727,51517897,913952269,913952269
"6403","South-East Asian Region (SEAR)",2023-11-22,612727,51517897,913952269,913952269
"6404","South-East Asian Region (SEAR)",2023-11-23,612727,51517897,913952269,913952269
"6405","South-East Asian Region (SEAR)",2023-11-24,612727,51517897,913952269,913952269
"6406","South-East Asian Region (SEAR)",2023-11-25,612727,51517897,913952269,913952269
"6407","South-East Asian Region (SEAR)",2023-11-26,612727,51517897,913952269,913952269
"6408","South-East Asian Region (SEAR)",2023-11-27,612727,51517897,913952269,913952269
"6409","South-East Asian Region (SEAR)",2023-11-28,612727,51517897,913952269,913952269
"6410","South-East Asian Region (SEAR)",2023-11-29,612727,51517897,913952269,913952269
"6411","South-East Asian Region (SEAR)",2023-11-30,612727,51517897,913952269,913952269
"6412","South-East Asian Region (SEAR)",2023-12-01,612727,51517897,913952269,913952269
"6413","South-East Asian Region (SEAR)",2023-12-02,612727,51517897,913952269,913952269
"6414","South-East Asian Region (SEAR)",2023-12-03,612727,51517897,913952269,913952269
"6415","South-East Asian Region (SEAR)",2023-12-04,612727,51517897,913952269,913952269
"6416","South-East Asian Region (SEAR)",2023-12-05,612727,51517897,913952269,913952269
"6417","South-East Asian Region (SEAR)",2023-12-06,612727,51517897,913952269,913952269
"6418","South-East Asian Region (SEAR)",2023-12-07,612727,51517897,913952269,913952269
"6419","South-East Asian Region (SEAR)",2023-12-08,612727,51517897,913952269,913952269
"6420","South-East Asian Region (SEAR)",2023-12-09,612727,51517897,913952269,913952269
"6421","South-East Asian Region (SEAR)",2023-12-10,612727,51517897,913952269,913952269
"6422","South-East Asian Region (SEAR)",2023-12-11,612727,51517897,913952269,913952269
"6423","South-East Asian Region (SEAR)",2023-12-12,612727,51517897,913952269,913952269
"6424","South-East Asian Region (SEAR)",2023-12-13,612727,51517897,913952269,913952269
"6425","South-East Asian Region (SEAR)",2023-12-14,612727,51517897,913952269,913952269
"6426","South-East Asian Region (SEAR)",2023-12-15,612727,51517897,913952269,913952269
"6427","South-East Asian Region (SEAR)",2023-12-16,612727,51517897,913952269,913952269
"6428","South-East Asian Region (SEAR)",2023-12-17,612727,51517897,913952269,913952269
"6429","South-East Asian Region (SEAR)",2023-12-18,612727,51517897,913952269,913952269
"6430","South-East Asian Region (SEAR)",2023-12-19,612727,51517897,913952269,913952269
"6431","South-East Asian Region (SEAR)",2023-12-20,612727,51517897,913952269,913952269
"6432","South-East Asian Region (SEAR)",2023-12-21,612727,51517897,913952269,913952269
"6433","South-East Asian Region (SEAR)",2023-12-22,612727,51517897,913952269,913952269
"6434","South-East Asian Region (SEAR)",2023-12-23,612727,51517897,913952269,913952269
"6435","South-East Asian Region (SEAR)",2023-12-24,612727,51517897,913952269,913952269
"6436","South-East Asian Region (SEAR)",2023-12-25,612727,51517897,913952269,913952269
"6437","South-East Asian Region (SEAR)",2023-12-26,612727,51517897,913952269,913952269
"6438","South-East Asian Region (SEAR)",2023-12-27,612727,51517897,913952269,913952269
"6439","South-East Asian Region (SEAR)",2023-12-28,612727,51517897,913952269,913952269
"6440","South-East Asian Region (SEAR)",2023-12-29,612727,51517897,913952269,913952269
"6441","South-East Asian Region (SEAR)",2023-12-30,612727,51517897,913952269,913952269
"6442","South-East Asian Region (SEAR)",2023-12-31,612727,51517897,913952269,913952269
"6443","South-East Asian Region (SEAR)",2024-01-01,612727,51517897,913952269,913952269
"6444","South-East Asian Region (SEAR)",2024-01-02,612727,51517897,913952269,913952269
"6445","South-East Asian Region (SEAR)",2024-01-03,612727,51517897,913952269,913952269
"6446","South-East Asian Region (SEAR)",2024-01-04,612727,51517897,913952269,913952269
"6447","South-East Asian Region (SEAR)",2024-01-05,612727,51517897,913952269,913952269
"6448","South-East Asian Region (SEAR)",2024-01-06,612727,51517897,913952269,913952269
"6449","South-East Asian Region (SEAR)",2024-01-07,612727,51517897,913952269,913952269
"6450","South-East Asian Region (SEAR)",2024-01-08,612727,51517897,913952269,913952269
"6451","South-East Asian Region (SEAR)",2024-01-09,612727,51517897,913952269,913952269
"6452","South-East Asian Region (SEAR)",2024-01-10,612727,51517897,913952269,913952269
"6453","South-East Asian Region (SEAR)",2024-01-11,612727,51517897,913952269,913952269
"6454","South-East Asian Region (SEAR)",2024-01-12,612727,51517897,913952269,913952269
"6455","South-East Asian Region (SEAR)",2024-01-13,612727,51517897,913952269,913952269
"6456","South-East Asian Region (SEAR)",2024-01-14,612727,51517897,913952269,913952269
"6457","South-East Asian Region (SEAR)",2024-01-15,612727,51517897,913952269,913952269
"6458","South-East Asian Region (SEAR)",2024-01-16,612727,51517897,913952269,913952269
"6459","South-East Asian Region (SEAR)",2024-01-17,612727,51517897,913952269,913952269
"6460","South-East Asian Region (SEAR)",2024-01-18,612727,51517897,913952269,913952269
"6461","South-East Asian Region (SEAR)",2024-01-19,612727,51517897,913952269,913952269
"6462","South-East Asian Region (SEAR)",2024-01-20,612727,51517897,913952269,913952269
"6463","South-East Asian Region (SEAR)",2024-01-21,612727,51517897,913952269,913952269
"6464","South-East Asian Region (SEAR)",2024-01-22,612727,51517897,913952269,913952269
"6465","South-East Asian Region (SEAR)",2024-01-23,612727,51517897,913952269,913952269
"6466","South-East Asian Region (SEAR)",2024-01-24,612727,51517897,913952269,913952269
